Rk,Name,Age,Tm,Lg,W,L,W-L%,ERA,G,GS▼,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W
1,Sandy Alcantara,25,MIA,NL,9,15,0.375,3.19,33,33,0,1,0,0,205.2,171,85,73,21,50,2,201,10,1,6,837,131,3.42,1.075,7.5,0.9,2.2,8.8,4.02
2,Walker Buehler,26,LAD,NL,16,4,0.8,2.47,33,33,0,0,0,0,207.2,149,61,57,19,52,2,212,6,0,5,815,165,3.16,0.968,6.5,0.8,2.3,9.2,4.08
3,Luis Castillo,28,CIN,NL,8,16,0.333,3.98,33,33,0,0,0,0,187.2,181,94,83,19,75,4,192,7,1,1,803,120,3.75,1.364,8.7,0.9,3.6,9.2,2.56
4,Kevin Gausman,30,SFG,NL,14,6,0.7,2.81,33,33,0,0,0,0,192,150,66,60,20,50,1,227,4,0,7,775,145,3,1.042,7,0.9,2.3,10.6,4.54
5,Tyler Mahle,26,CIN,NL,13,6,0.684,3.75,33,33,0,0,0,0,180,158,78,75,24,64,0,210,10,0,4,759,127,3.8,1.233,7.9,1.2,3.2,10.5,3.28
6,Charlie Morton,37,ATL,NL,14,6,0.7,3.34,33,33,0,0,0,0,185.2,136,77,69,16,58,1,216,17,0,5,756,132,3.18,1.045,6.6,0.8,2.8,10.5,3.72
7,Marcus Stroman,30,NYM,NL,10,13,0.435,3.02,33,33,0,0,0,0,179,161,70,60,17,44,2,158,7,0,7,730,134,3.49,1.145,8.1,0.9,2.2,7.9,3.59
8,Jose Berrios,27,TOT,AL,12,9,0.571,3.52,32,32,0,1,0,0,192,159,83,75,22,45,0,204,15,0,3,781,123,3.47,1.063,7.5,1,2.1,9.6,4.53
9,Dylan Cease,25,CHW,AL,13,7,0.65,3.91,32,32,0,1,1,0,165.2,139,77,72,20,68,0,226,9,2,13,708,110,3.41,1.249,7.6,1.1,3.7,12.3,3.32
10,Zach Davies,28,CHC,NL,6,12,0.333,5.78,32,32,0,0,0,0,148,162,99,95,25,75,2,114,5,0,0,668,74,5.45,1.601,9.9,1.5,4.6,6.9,1.52
11,Nathan Eovaldi,31,BOS,AL,11,9,0.55,3.75,32,32,0,0,0,0,182.1,182,81,76,15,35,2,195,7,0,6,764,126,2.79,1.19,9,0.7,1.7,9.6,5.57
12,Kyle Hendricks,31,CHC,NL,14,7,0.667,4.77,32,32,0,1,0,0,181,200,101,96,31,44,3,131,13,0,2,785,89,4.89,1.348,9.9,1.5,2.2,6.5,2.98
13,Cole Irvin*,27,OAK,AL,10,15,0.4,4.24,32,32,0,0,0,0,178.1,195,94,84,23,42,0,125,9,0,3,768,95,4.3,1.329,9.8,1.2,2.1,6.3,2.98
14,Sean Manaea*,29,OAK,AL,11,10,0.524,3.91,32,32,0,2,2,0,179.1,179,79,78,25,41,0,194,9,1,5,754,103,3.66,1.227,9,1.3,2.1,9.7,4.73
15,German Marquez,26,COL,NL,12,11,0.522,4.4,32,32,0,3,1,0,180,165,92,88,21,64,5,176,4,0,15,756,106,3.86,1.272,8.3,1.1,3.2,8.8,2.75
16,Frankie Montas,28,OAK,AL,13,9,0.591,3.37,32,32,0,0,0,0,187,164,79,70,20,57,1,207,7,0,11,778,120,3.37,1.182,7.9,1,2.7,10,3.63
17,Aaron Nola,28,PHI,NL,9,9,0.5,4.63,32,32,0,1,1,0,180.2,165,95,93,26,39,1,223,9,1,0,749,90,3.37,1.129,8.2,1.3,1.9,11.1,5.72
18,Robbie Ray*,29,TOR,AL,13,7,0.65,2.84,32,32,0,0,0,0,193.1,150,62,61,33,52,0,248,4,0,5,773,157,3.69,1.045,7,1.5,2.4,11.5,4.77
19,Julio Urias*,24,LAD,NL,20,3,0.87,2.96,32,32,0,0,0,0,185.2,151,67,61,19,38,3,195,7,1,2,745,138,3.13,1.018,7.3,0.9,1.8,9.5,5.13
20,Adam Wainwright,39,STL,NL,17,7,0.708,3.05,32,32,0,3,1,0,206.1,168,72,70,21,50,3,174,9,1,4,828,127,3.66,1.057,7.3,0.9,2.2,7.6,3.48
21,Zack Wheeler,31,PHI,NL,14,10,0.583,2.78,32,32,0,3,2,0,213.1,169,72,66,16,46,1,247,8,0,6,849,150,2.59,1.008,7.1,0.7,1.9,10.4,5.37
22,Tyler Anderson*,31,TOT,MLB,7,11,0.389,4.53,31,31,0,0,0,0,167,170,87,84,27,38,2,134,1,1,1,703,93,4.37,1.246,9.2,1.5,2,7.2,3.53
23,Patrick Corbin*,31,WSN,NL,9,16,0.36,5.82,31,31,0,0,0,0,171.2,192,114,111,37,60,2,143,3,0,0,751,69,5.41,1.468,10.1,1.9,3.1,7.5,2.38
24,Anthony DeSclafani,31,SFG,NL,13,7,0.65,3.17,31,31,0,2,2,0,167.2,141,61,59,19,42,1,152,2,0,7,676,129,3.62,1.091,7.6,1,2.3,8.2,3.62
25,Chris Flexen,26,SEA,AL,14,6,0.7,3.61,31,31,0,0,0,0,179.2,185,74,72,19,40,0,125,4,0,2,741,117,3.89,1.252,9.3,1,2,6.3,3.13
26,Lucas Giolito,26,CHW,AL,11,9,0.55,3.53,31,31,0,1,0,0,178.2,145,74,70,27,52,1,201,2,0,12,720,122,3.79,1.103,7.3,1.4,2.6,10.1,3.87
27,Rich Hill*,41,TOT,MLB,7,8,0.467,3.86,32,31,0,0,0,0,158.2,137,70,68,21,55,0,150,16,1,3,661,104,4.34,1.21,7.8,1.2,3.1,8.5,2.73
28,Joe Musgrove,28,SDP,NL,11,9,0.55,3.18,32,31,1,2,2,0,181.1,142,68,64,22,54,3,203,18,0,3,748,122,3.7,1.081,7,1.1,2.7,10.1,3.76
29,Eduardo Rodriguez*,28,BOS,AL,13,8,0.619,4.74,32,31,0,0,0,0,157.2,172,87,83,19,47,0,185,2,1,0,675,100,3.32,1.389,9.8,1.1,2.7,10.6,3.94
30,Hyun Jin Ryu*,34,TOR,AL,14,10,0.583,4.37,31,31,0,1,1,0,169,170,85,82,24,37,0,143,2,0,2,701,102,4.02,1.225,9.1,1.3,2,7.6,3.86
31,Gerrit Cole,30,NYY,AL,16,8,0.667,3.23,30,30,0,2,1,0,181.1,151,69,65,24,41,0,243,2,1,5,726,133,2.92,1.059,7.5,1.2,2,12.1,5.93
32,Yu Darvish,34,SDP,NL,8,11,0.421,4.22,30,30,0,0,0,0,166.1,138,81,78,28,44,1,199,8,0,9,681,92,3.9,1.094,7.5,1.5,2.4,10.8,4.52
33,Kyle Gibson,33,TOT,MLB,10,9,0.526,3.71,31,30,0,0,0,0,182,158,78,75,17,64,2,155,8,1,2,754,116,3.87,1.22,7.8,0.8,3.2,7.7,2.42
34,J.A. Happ*,38,TOT,MLB,10,8,0.556,5.79,30,30,0,0,0,0,152.1,177,100,98,30,48,0,122,3,0,4,671,71,5.13,1.477,10.5,1.8,2.8,7.2,2.54
35,Dallas Keuchel*,33,CHW,AL,9,9,0.5,5.28,32,30,0,0,0,0,162,189,105,95,25,59,1,95,7,0,5,720,81,5.23,1.531,10.5,1.4,3.3,5.3,1.61
36,Jordan Lyles,30,TEX,AL,10,13,0.435,5.15,32,30,1,0,0,0,180,194,104,103,38,56,0,146,7,0,9,769,85,5.34,1.389,9.7,1.9,2.8,7.3,2.61
37,Casey Mize,24,DET,AL,7,9,0.438,3.71,30,30,0,1,0,0,150.1,130,64,62,24,41,0,118,11,0,7,612,117,4.71,1.137,7.8,1.4,2.5,7.1,2.88
38,Jordan Montgomery*,28,NYY,AL,6,7,0.462,3.83,30,30,0,0,0,0,157.1,150,73,67,19,51,0,162,2,1,12,661,112,3.69,1.278,8.6,1.1,2.9,9.3,3.18
39,Nick Pivetta,28,BOS,AL,9,8,0.529,4.53,31,30,1,0,0,1,155,137,80,78,24,65,2,175,5,0,9,661,104,4.28,1.303,8,1.4,3.8,10.2,2.69
40,Max Scherzer,36,TOT,NL,15,4,0.789,2.46,30,30,0,1,0,0,179.1,119,53,49,23,36,0,236,10,0,2,693,164,2.97,0.864,6,1.2,1.8,11.8,6.56
41,Brandon Woodruff,28,MIL,NL,9,10,0.474,2.56,30,30,0,0,0,0,179.1,130,54,51,18,43,0,211,7,0,2,708,165,2.96,0.965,6.5,0.9,2.2,10.6,4.91
42,Jon Gray,29,COL,NL,8,12,0.4,4.59,29,29,0,0,0,0,149,140,83,76,21,58,2,157,8,0,7,644,102,4.22,1.329,8.5,1.3,3.5,9.5,2.71
43,Zack Greinke,37,HOU,AL,11,6,0.647,4.16,30,29,0,1,0,0,171,164,82,79,30,36,0,120,2,0,3,697,103,4.71,1.17,8.6,1.6,1.9,6.3,3.33
44,Yusei Kikuchi*,30,SEA,AL,7,9,0.438,4.41,29,29,0,0,0,0,157,145,82,77,27,62,0,163,5,0,6,666,95,4.61,1.318,8.3,1.5,3.6,9.3,2.63
45,Steven Matz*,30,TOR,AL,14,7,0.667,3.82,29,29,0,0,0,0,150.2,158,70,64,18,43,0,144,6,1,5,647,117,3.79,1.334,9.4,1.1,2.6,8.6,3.35
46,Tarik Skubal*,24,DET,AL,8,12,0.4,4.34,31,29,1,0,0,0,149.1,141,76,72,35,47,0,164,6,0,4,634,100,5.09,1.259,8.5,2.1,2.8,9.9,3.49
47,Jameson Taillon,29,NYY,AL,8,6,0.571,4.3,29,29,0,0,0,0,144.1,130,73,69,24,44,1,140,6,0,4,603,100,4.43,1.206,8.1,1.5,2.7,8.7,3.18
48,Taijuan Walker,28,NYM,NL,7,11,0.389,4.47,30,29,0,0,0,0,159,133,84,79,26,55,0,146,4,0,5,654,91,4.57,1.182,7.5,1.5,3.1,8.3,2.65
49,Corbin Burnes,26,MIL,NL,11,5,0.688,2.43,28,28,0,0,0,0,167,123,47,45,7,34,0,234,6,0,5,657,174,1.63,0.94,6.6,0.4,1.8,12.6,6.88
50,Max Fried*,27,ATL,NL,14,7,0.667,3.04,28,28,0,2,2,0,165.2,139,61,56,15,41,0,158,7,0,7,667,145,3.31,1.087,7.6,0.8,2.2,8.6,3.85
51,Luis Garcia,24,HOU,AL,11,8,0.579,3.48,30,28,1,0,0,0,155.1,133,62,60,19,50,1,167,3,1,9,633,123,3.63,1.178,7.7,1.1,2.9,9.7,3.34
52,Matt Harvey,32,BAL,AL,6,14,0.3,6.27,28,28,0,0,0,0,127.2,160,96,89,19,37,1,95,5,0,3,582,73,4.6,1.543,11.3,1.3,2.6,6.7,2.57
53,Jon Lester*,37,TOT,NL,7,6,0.538,4.71,28,28,0,0,0,0,141.1,159,84,74,25,55,5,91,3,0,0,627,84,5.41,1.514,10.1,1.6,3.5,5.8,1.65
54,Lance Lynn,34,CHW,AL,11,6,0.647,2.69,28,28,0,1,1,0,157,123,52,47,18,45,2,176,2,0,5,641,159,3.32,1.07,7.1,1,2.6,10.1,3.91
55,Lance McCullers Jr.,27,HOU,AL,13,5,0.722,3.16,28,28,0,0,0,0,162.1,122,59,57,13,76,0,185,10,0,7,684,136,3.52,1.22,6.8,0.7,4.2,10.3,2.43
56,Wade Miley*,34,CIN,NL,12,7,0.632,3.37,28,28,0,1,1,0,163,166,64,61,17,50,0,125,3,0,2,690,141,3.97,1.325,9.2,0.9,2.8,6.9,2.5
57,Mike Minor*,33,KCR,AL,8,12,0.4,5.05,28,28,0,0,0,0,158.2,156,92,89,26,41,0,149,5,0,4,669,90,4.29,1.242,8.8,1.5,2.3,8.5,3.63
58,Antonio Senzatela,26,COL,NL,4,10,0.286,4.42,28,28,0,0,0,0,156.2,178,84,77,12,32,1,105,9,2,4,670,106,3.61,1.34,10.2,0.7,1.8,6,3.28
59,Chris Bassitt,32,OAK,AL,12,4,0.75,3.15,27,27,0,1,1,0,157.1,127,55,55,15,39,1,159,11,1,5,637,128,3.34,1.055,7.3,0.9,2.2,9.1,4.08
60,Erick Fedde,28,WSN,NL,7,9,0.438,5.47,29,27,1,0,0,0,133.1,144,90,81,23,48,6,128,4,1,1,590,73,4.66,1.44,9.7,1.6,3.2,8.6,2.67
61,Merrill Kelly,32,ARI,NL,7,11,0.389,4.44,27,27,0,0,0,0,158,163,82,78,21,41,3,130,4,0,2,667,96,4.11,1.291,9.3,1.2,2.3,7.4,3.17
62,Freddy Peralta,25,MIL,NL,10,5,0.667,2.81,28,27,0,1,0,0,144.1,84,47,45,14,56,1,195,11,0,4,580,150,3.12,0.97,5.2,0.9,3.5,12.2,3.48
63,Brady Singer,24,KCR,AL,5,10,0.333,4.91,27,27,0,1,0,0,128.1,146,81,70,14,53,1,131,11,1,3,586,93,4.04,1.551,10.2,1,3.7,9.2,2.47
64,Blake Snell*,28,SDP,NL,7,6,0.538,4.2,27,27,0,0,0,0,128.2,101,61,60,16,69,1,170,3,1,7,550,92,3.82,1.321,7.1,1.1,4.8,11.9,2.46
65,Madison Bumgarner*,31,ARI,NL,7,10,0.412,4.67,26,26,0,1,1,0,146.1,134,82,76,24,39,2,124,11,1,2,613,91,4.63,1.182,8.2,1.5,2.4,7.6,3.18
66,Sonny Gray,31,CIN,NL,7,9,0.438,4.19,26,26,0,0,0,0,135.1,115,67,63,19,50,1,155,8,0,9,575,114,3.99,1.219,7.6,1.3,3.3,10.3,3.1
67,Adrian Houser,28,MIL,NL,10,6,0.625,3.22,28,26,0,1,1,0,142.1,118,61,51,12,64,0,105,9,1,9,599,131,4.33,1.279,7.5,0.8,4,6.6,1.64
68,Brad Keller,25,KCR,AL,8,12,0.4,5.39,26,26,0,0,0,0,133.2,158,89,80,18,64,1,120,7,0,5,613,85,4.72,1.661,10.6,1.2,4.3,8.1,1.88
69,John Means*,28,BAL,AL,6,9,0.4,3.62,26,26,0,1,1,0,146.2,125,64,59,30,26,0,134,4,0,3,590,126,4.62,1.03,7.7,1.8,1.6,8.2,5.15
70,Logan Webb,24,SFG,NL,11,3,0.786,3.03,27,26,0,0,0,0,148.1,128,53,50,9,36,0,158,8,0,2,596,135,2.72,1.106,7.8,0.5,2.2,9.6,4.39
71,Alex Wood*,30,SFG,NL,10,4,0.714,3.83,26,26,0,0,0,0,138.2,125,63,59,14,39,1,152,16,0,7,585,107,3.48,1.183,8.1,0.9,2.5,9.9,3.9
72,Wil Crowe,26,PIT,NL,4,8,0.333,5.48,26,25,0,0,0,0,116.2,126,75,71,25,57,1,111,6,1,3,524,77,5.67,1.569,9.7,1.9,4.4,8.6,1.95
73,Dane Dunning,26,TEX,AL,5,10,0.333,4.51,27,25,0,0,0,0,117.2,126,61,59,13,43,0,114,7,0,8,511,97,3.94,1.436,9.6,1,3.3,8.7,2.65
74,Marco Gonzales*,29,SEA,AL,10,6,0.625,3.96,25,25,0,1,0,0,143.1,125,64,63,29,42,3,108,5,0,1,585,106,5.28,1.165,7.8,1.8,2.6,6.8,2.57
75,Jorge Lopez,28,BAL,AL,3,14,0.176,6.07,33,25,2,0,0,0,121.2,142,83,82,21,56,2,112,10,2,9,555,75,5.2,1.627,10.5,1.6,4.1,8.3,2
76,Shane McClanahan*,24,TBR,AL,10,6,0.625,3.43,25,25,0,0,0,0,123.1,120,49,47,14,37,0,141,2,0,9,517,116,3.31,1.273,8.8,1,2.7,10.3,3.81
77,Zach Plesac,26,CLE,AL,10,6,0.625,4.67,25,25,0,0,0,0,142.2,137,79,74,23,34,1,100,7,1,5,598,93,4.73,1.199,8.6,1.5,2.1,6.3,2.94
78,Trevor Rogers*,23,MIA,NL,7,8,0.467,2.64,25,25,0,0,0,0,133,107,46,39,6,46,2,157,5,1,4,550,158,2.55,1.15,7.2,0.4,3.1,10.6,3.41
79,Brett Anderson*,33,MIL,NL,4,9,0.308,4.22,24,24,0,0,0,0,96,102,52,45,11,28,0,58,2,2,0,409,100,4.39,1.354,9.6,1,2.6,5.4,2.07
80,Ian Anderson,23,ATL,NL,9,5,0.643,3.58,24,24,0,0,0,0,128.1,105,51,51,16,53,2,124,1,0,7,535,124,4.12,1.231,7.4,1.1,3.7,8.7,2.34
81,Jake Arrieta,35,TOT,NL,5,14,0.263,7.39,24,24,0,0,0,0,98.2,131,91,81,24,44,3,83,6,0,3,469,57,6.17,1.774,11.9,2.2,4,7.6,1.89
82,JT Brubaker,27,PIT,NL,5,13,0.278,5.36,24,24,0,0,0,0,124.1,123,75,74,28,38,1,129,9,1,3,538,79,5.16,1.295,8.9,2,2.8,9.3,3.39
83,Mike Foltynewicz,29,TEX,AL,2,12,0.143,5.44,28,24,0,0,0,0,139,139,86,84,35,36,0,97,9,0,2,586,81,6.02,1.259,9,2.3,2.3,6.3,2.69
84,Logan Gilbert,24,SEA,AL,6,5,0.545,4.68,24,24,0,0,0,0,119.1,112,63,62,17,28,2,128,6,0,9,503,90,3.73,1.173,8.4,1.3,2.1,9.7,4.57
85,Triston McKenzie,23,CLE,AL,5,9,0.357,4.95,25,24,0,0,0,0,120,84,66,66,21,58,0,136,3,2,2,495,88,4.7,1.183,6.3,1.6,4.4,10.2,2.34
86,Carlos Rodon*,28,CHW,AL,13,5,0.722,2.37,24,24,0,1,1,0,132.2,91,39,35,13,36,1,185,8,0,7,534,181,2.65,0.957,6.2,0.9,2.4,12.6,5.14
87,Kyle Freeland*,28,COL,NL,7,8,0.467,4.33,23,23,0,0,0,0,120.2,133,59,58,20,38,1,105,4,0,1,515,108,4.63,1.417,9.9,1.5,2.8,7.8,2.76
88,Zac Gallen,25,ARI,NL,4,10,0.286,4.3,23,23,0,1,1,0,121.1,108,61,58,19,49,1,139,5,0,6,523,99,4.25,1.294,8,1.4,3.6,10.3,2.84
89,Austin Gomber*,27,COL,NL,9,9,0.5,4.53,23,23,0,0,0,0,115.1,102,64,58,20,41,2,113,3,0,1,488,103,4.61,1.24,8,1.6,3.2,8.8,2.76
90,Andrew Heaney*,30,TOT,AL,8,9,0.471,5.83,30,23,2,0,0,0,129.2,130,85,84,29,41,0,150,6,0,4,558,75,4.85,1.319,9,2,2.8,10.4,3.66
